log_output,issue_category
Kubernetes pod crashloopbackoff [process ID: 228],Deployment error
AWS credential invalid [process ID: 106],Deployment error
AssertionError: expected 5 to equal 4 [process ID: 794],Test failure
failed to pull docker image [process ID: 575],Deployment error
vulnerability found in package [process ID: 235],Security issue
Expected true but got false [process ID: 909],Test failure
Expected true but got false [process ID: 279],Test failure
fatal error: file not found [process ID: 694],Build failure
Kubernetes pod crashloopbackoff [process ID: 577],Deployment error
CORS policy violation [process ID: 684],Security issue
failed to pull docker image [process ID: 785],Deployment error
syntax error in file [process ID: 708],Build failure
syntax error in file [process ID: 926],Build failure
invalid configuration file [process ID: 773],Configuration error
AWS credential invalid [process ID: 345],Deployment error
all tests passed [process ID: 866],Success
build successful [process ID: 215],Success
pip install failed [process ID: 322],Dependency issue
AssertionError: expected 5 to equal 4 [process ID: 833],Test failure
env variable missing [process ID: 942],Configuration error
syntax error in file [process ID: 853],Build failure
timeout waiting for service [process ID: 922],Deployment error
Expected true but got false [process ID: 915],Test failure
timeout waiting for service [process ID: 633],Deployment error
Jest failed with 1 failing test [process ID: 303],Test failure
unauthorized access token [process ID: 204],Security issue
CORS policy violation [process ID: 575],Security issue
AssertionError: expected 5 to equal 4 [process ID: 396],Test failure
invalid configuration file [process ID: 956],Configuration error
npm ERR! missing dependency [process ID: 358],Dependency issue
Test suite failed [process ID: 563],Test failure
AssertionError: expected 5 to equal 4 [process ID: 153],Test failure
failed to pull docker image [process ID: 109],Deployment error
Expected true but got false [process ID: 380],Test failure
deployed successfully [process ID: 218],Success
fatal error: file not found [process ID: 857],Build failure
all tests passed [process ID: 200],Success
Expected true but got false [process ID: 424],Test failure
env variable missing [process ID: 347],Configuration error
